OBJECTID,Request_ID,Create_Date,Department,Request_Type,Address,District,Status,Close_Date,Origin,Latitude,Longitude,Year,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
1772,319417,1611768120000,Building Maintenance,COM Carpentry,329 EAST VANDIVER BLVD,3.0,Closed,1611769380000.0,Call Center,32.417846,-86.2773105,2021,{6BE2ECDE-C462-42A8-B33C-917A8E4FD1DD},,,,,519159.28720082715,697912.2354774922
1773,319418,1611768540000,Building Maintenance,COM Roofing,4325 THORNWOOD DR,4.0,Closed,1612270560000.0,Call Center,32.3155038,-86.3682848,2021,{1FB33A92-DAEA-462A-A9B8-9DDBA152EBCA},,,,,490899.00448266044,660807.2302913219
1774,319419,1611769080000,Traffic Engineering,Repair Existing Signs,WOODCREST DR,4.0,Closed,1611844440000.0,Call Center,32.3123831,-86.36941,2021,{6E78865C-37EC-444F-B4F2-93E64892818D},,,,,490545.70269582793,659673.6206819043
1775,319420,1611769260000,Sanitation Department,Exchange Damage Container,2712 BOYKIN PL,9.0,Closed,1612299600000.0,Call Center,32.3409552,-86.201832,2021,{CADF254D-7A64-46E4-9EB6-44DF3BAF5A20},,,,,542355.0790637471,669849.9303817376
1776,319421,1611769680000,FAQ,Mask Ordinance Violations ,,,Closed,1611769680000.0,Call Center,0.0,0.0,2021,{0AB4D636-98D2-429A-A2E9-DEF27C9F80B9},,,,,NaN,NaN
1777,319422,1611770580000,FAQ,Ask 3-1-1,,,Closed,1611770580000.0,Call Center,0.0,0.0,2021,{A0CA7EC4-1C0E-49FD-948F-A4FF001291B8},,,,,NaN,NaN
1778,319423,1611770700000,Sanitation Department,Inquiries,,,Closed,1611770700000.0,Call Center,0.0,0.0,2021,{67322AE9-1AEE-4D2E-918C-0F552E8190D5},,,,,NaN,NaN
1779,319424,1611770760000,FAQ,Ask 3-1-1,,,Closed,1611770760000.0,Call Center,0.0,0.0,2021,{63B2F4BD-9526-4761-9ED4-AD07BC7FA809},,,,,NaN,NaN
1780,319425,1611770940000,Sanitation Department,General Sanitation Inquiry,2050 WOODLEY RD,5.0,Closed,1611772680000.0,Website,32.34542739,-86.2817083,2021,{A5F7FCE0-DB19-4A18-A2D7-D633BC263E70},,,,,517691.7300965786,671571.0434093252
1781,319426,1611771240000,FAQ,Ask 3-1-1,,,Closed,1611771240000.0,Call Center,0.0,0.0,2021,{B8CF6E52-75D4-4332-82E4-1A98246DC708},,,,,NaN,NaN
1782,319427,1611772020000,Traffic Engineering,Basketball Goal on City Right-of-Way,6224 WYNFREY PL,9.0,Closed,1612982880000.0,Control Panel,32.3530402,-86.1986745,2021,{0BDFB744-506D-42AA-88A4-D7C6F4DEA5C0},,,,,543345.2854166627,674243.2303221524
